UserID,Daily_Logins,Failed_Password_Attempts,Session_Duration_Min,Data_Download_MB,Off_Hours_Activity_Pct,Unique_IP_Count
USER-6576,2,0,34.6,59.9,5.7,2
USER-6577,5,0,30.7,36.5,9.7,1
USER-6578,4,0,38.6,78.3,8.0,1
USER-6579,3,0,27.7,43.1,9.4,1
USER-6580,5,1,40.9,57.3,6.3,1
USER-6581,57,12,2.8,9.7,82.3,13
USER-6582,3,0,34.6,53.1,11.9,1
USER-6583,6,0,16.6,66.8,7.5,3
USER-6584,2,0,11.0,33.3,6.3,1
USER-6585,2,0,23.0,58.6,6.5,1
USER-6586,5,0,49.5,43.7,8.5,1
USER-6587,4,0,18.3,42.9,3.0,1
USER-6588,3,0,25.1,35.9,0.0,1
USER-6589,4,0,45.9,63.6,6.6,2
USER-6590,4,0,43.8,48.0,10.2,1
USER-6591,5,0,30.3,33.0,18.6,2
USER-6592,4,0,25.5,57.4,5.8,1
USER-6593,4,0,38.7,56.4,4.0,1
USER-6594,3,0,34.5,30.4,11.1,1
USER-6595,5,0,26.9,34.4,8.8,1
USER-6596,5,0,46.2,49.7,9.7,1
USER-6597,4,0,30.0,36.2,12.0,1
USER-6598,5,1,27.9,60.4,6.9,1
USER-6599,5,0,36.1,24.9,8.6,1
